Tango	CCDB	Channel
SR06/VC/SPBX-01	SR-VC-SPBX-RKA06C11-01	
SR06/VC/SPBX-02	SR-VC-SPBX-RKA06C11-02	
SR06/VC/SPBX-03	SR-VC-SPBX-RKA06D08-01	
SR06/VC/SPBX-04	SR-VC-SPBX-RKA06D08-02	
SR06/VC/SPBX-05	SR-VC-SPBX-RKA07A01-01	
SR06/VC/VGCT-01	SR-VC-VGCT-RKA06C11-01	
SR06/VC/VGCT-02	SR-VC-VGCT-RKA06C11-02	
SR06/VC/VGCT-03	SR-VC-VGCT-RKA06D08-01	
SR06/VC/VGCT-04	SR-VC-VGCT-RKA07A01-01	
SR07/VC/CCG-01	SR-VC-CCG-S07-01	
SR07/VC/CCG-02	SR-VC-CCG-S07-02	
SR07/VC/CCG-03	SR-VC-CCG-S07-03	
SR07/VC/IP-01	SR-VC-IP150-S07-01	
SR07/VC/IP-02	SR-VC-IP150-S07-02	
SR07/VC/IP-03	SR-VC-IP300-S07-03	
SR07/VC/IP-04	SR-VC-IP500-S07-04	
SR07/VC/IP-05	SR-VC-IP300-S07-05	
SR07/VC/IP-06	SR-VC-IP150-S07-06	
SR07/VC/IP-07	SR-VC-IP150-S07-07	
SR07/VC/IP-08	SR-VC-IP150-S07-08	
SR07/VC/IP-09	SR-VC-IP150-S07-09	
SR07/VC/IP-10	SR-VC-IP300-S07-10	
SR07/VC/IP-11	SR-VC-IP500-S07-11	
SR07/VC/IP-12	SR-VC-IP300-S07-12	
SR07/VC/IP-13	SR-VC-IP150-S07-13	
SR07/VC/IP-14	SR-VC-IP150-S07-14	
SR07/VC/IP-15	SR-VC-IP150-S07-15	
SR07/VC/IPCT-01	SR-VC-IPCT-RKA07A02-01	
SR07/VC/IPCT-02	SR-VC-IPCT-RKA07D01-01	
SR07/VC/IPCT-03	SR-VC-IPCT-RKA07D01-02	
SR07/VC/PIR-01	SR-VC-PIR-S07-01	
SR07/VC/PIR-02	SR-VC-PIR-S07-02	
SR07/VC/SERIAL-01	SR-CT-PAPA-RKA07B04-01	P1
SR07/VC/SERIAL-02	SR-CT-PAPA-RKA07B04-01	P2
SR07/VC/SERIAL-03	SR-CT-PAPA-RKA07B04-01	P3
SR07/VC/SERIAL-04	SR-CT-PAPA-RKA07B04-01	P4
SR07/VC/SERIAL-05	SR-CT-PAPA-RKA07B04-01	P5
SR07/VC/SERIAL-06	SR-CT-PAPA-RKA07B04-01	P6
SR07/VC/SERIAL-10	SR-CT-PAPA-RKA07B04-01	P10
SR07/VC/SERIAL-11	SR-CT-PAPA-RKA07B04-01	P11
SR07/VC/SERIAL-12	SR-CT-PAPA-RKA07B04-01	P12
SR07/VC/SPBX-01	SR-VC-SPBX-RKA07A02-01	
SR07/VC/SPBX-02	SR-VC-SPBX-RKA07D01-01	
SR07/VC/SPBX-03	SR-VC-SPBX-RKA07D01-02	
SR07/VC/VGCT-01	SR-VC-VGCT-RKA07A02-01	
SR07/VC/VGCT-02	SR-VC-VGCT-RKA07D01-01	
SR08/VC/CCG-01	SR-VC-CCG-S08-01	
SR08/VC/CCG-02	SR-VC-CCG-S08-02	
SR08/VC/CCG-03	SR-VC-CCG-S08-03	
SR08/VC/CCG-04	SR-VC-CCG-S08-04	
SR08/VC/IP-01	SR-VC-IP150-S08-01	
SR08/VC/IP-02	SR-VC-IP150-S08-02	
SR08/VC/IP-03	SR-VC-IP300-S08-03	
SR08/VC/IP-04	SR-VC-IP500-S08-04	
SR08/VC/IP-05	SR-VC-IP300-S08-05	
SR08/VC/IP-06	SR-VC-IP150-S08-06	
SR08/VC/IP-07	SR-VC-IP300-S08-07	
SR08/VC/IP-08	SR-VC-IP500-S08-08	
SR08/VC/IP-09	SR-VC-IP300-S08-09	
SR08/VC/IP-10	SR-VC-IP150-S08-10	
SR08/VC/IP-11	SR-VC-IP150-S08-11	
SR08/VC/IP-12	SR-VC-IP150-S08-12	
SR08/VC/IP-13	SR-VC-IP150-S08-13	
SR08/VC/IP-14	SR-VC-IP150-S08-14	
SR08/VC/IP-15	SR-VC-IP150-S08-15	
SR08/VC/IPCT-01	SR-VC-IPCT-RKA08E01-01	
SR08/VC/IPCT-02	SR-VC-IPCT-RKA08E02-01	
SR08/VC/IPCT-03	SR-VC-IPCT-RKA08E02-02	
SR08/VC/PIR-01	SR-VC-PIR-S08-01	
SR08/VC/PIR-02	SR-VC-PIR-S08-02	
SR08/VC/SERIAL-01	SR-CT-PAPA-RKA08E01-01	P1
SR08/VC/SERIAL-02	SR-CT-PAPA-RKA08E01-01	P2
SR08/VC/SERIAL-03	SR-CT-PAPA-RKA08E01-01	P3
SR08/VC/SERIAL-10	SR-CT-PAPA-RKA08E01-01	P10
SR08/VC/SERIAL-11	SR-CT-PAPA-RKA08E01-01	P11
SR08/VC/SPBX-01	SR-VC-SPBX-RKA08E01-01	
SR08/VC/SPBX-02	SR-VC-SPBX-RKA08E02-01	
SR08/VC/SPBX-03	SR-VC-SPBX-RKA08E02-02	
SR08/VC/VGCT-01	SR-VC-VGCT-RKA08E01-01	
SR08/VC/VGCT-02	SR-VC-VGCT-RKA08E02-01	
SR09/VC/CCG-01	SR-VC-CCG-S09-01	
SR09/VC/CCG-02	SR-VC-CCG-S09-02	
SR09/VC/CCG-03	SR-VC-CCG-S09-03	
SR09/VC/IP-01	SR-VC-IP150-S09-01	
SR09/VC/IP-02	SR-VC-IP150-S09-02	
SR09/VC/IP-03	SR-VC-IP300-S09-03	
SR09/VC/IP-04	SR-VC-IP500-S09-04	
SR09/VC/IP-05	SR-VC-IP300-S09-05	
SR09/VC/IP-06	SR-VC-IP150-S09-06	
SR09/VC/IP-07	SR-VC-IP300-S09-07	
SR09/VC/IP-08	SR-VC-IP500-S09-08	
SR09/VC/IP-09	SR-VC-IP300-S09-09	
SR09/VC/IP-10	SR-VC-IP150-S09-10	
SR09/VC/IP-11	SR-VC-IP150-S09-11	
SR09/VC/IP-12	SR-VC-IP150-S09-12	
SR09/VC/IPCT-01	SR-VC-IPCT-RKA09A08-01	
SR09/VC/IPCT-02	SR-VC-IPCT-RKA09A08-02	
SR09/VC/IPCT-03	SR-VC-IPCT-RKA09B02-01	
SR09/VC/PIR-01	SR-VC-PIR-S09-01	
SR09/VC/PIR-02	SR-VC-PIR-S09-02	
SR09/VC/SERIAL-01	SR-CT-PAPA-RKA09B02-01	P1
SR09/VC/SERIAL-02	SR-CT-PAPA-RKA09B02-01	P2
SR09/VC/SERIAL-03	SR-CT-PAPA-RKA09B02-01	P3
SR09/VC/SERIAL-04	SR-CT-PAPA-RKA09B02-01	P4
SR09/VC/SERIAL-05	SR-CT-PAPA-RKA09B02-01	P5
SR09/VC/SERIAL-10	SR-CT-PAPA-RKA09B02-01	P10
SR09/VC/SERIAL-11	SR-CT-PAPA-RKA09B02-01	P11
SR09/VC/SERIAL-12	SR-CT-PAPA-RKA09B02-01	P12
SR09/VC/SERIAL-13	SR-CT-PAPA-RKA09B02-01	P13
SR09/VC/SPBX-01	SR-VC-SPBX-RKA09A08-01	
SR09/VC/SPBX-02	SR-VC-SPBX-RKA09A08-02	
SR09/VC/SPBX-03	SR-VC-SPBX-RKA09B02-01	
SR09/VC/VGCT-01	SR-VC-VGCT-RKA09A08-01	
SR09/VC/VGCT-02	SR-VC-VGCT-RKA09B02-01	
SR10/VC/CCG-01	SR-VC-CCG-S10-01	
SR10/VC/CCG-02	SR-VC-CCG-S10-02	
SR10/VC/CCG-03	SR-VC-CCG-S10-03	
SR10/VC/CCG-04	SR-VC-CCG-S10-04	
SR10/VC/CCG-05	SR-VC-CCG-S10-05	
SR10/VC/CCG-06	SR-VC-CCG-S10-06	
SR10/VC/IP-01	SR-VC-IP150-S10-01	
SR10/VC/IP-02	SR-VC-IP150-S10-02	
SR10/VC/IP-03	SR-VC-IP300-S10-03	
SR10/VC/IP-04	SR-VC-IP500-S10-04	
SR10/VC/IP-05	SR-VC-IP300-S10-05	
SR10/VC/IP-06	SR-VC-IP150-S10-06	
SR10/VC/IP-07	SR-VC-IP150-S10-07	
SR10/VC/IP-08	SR-VC-IP300-S10-08	
SR10/VC/IP-09	SR-VC-IP300-S10-09	
SR10/VC/IP-10	SR-VC-IP150-S10-10	
SR10/VC/IP-11	SR-VC-IP150-S10-11	
SR10/VC/IP-12	SR-VC-IP150-S10-12	
SR10/VC/IP-13	SR-VC-IP500-S10-13	
SR10/VC/IP-14	SR-VC-IP300-S10-14	
SR10/VC/IP-15	SR-VC-IP500-S10-15	
SR10/VC/IP-16	SR-VC-IP300-S10-16	
SR10/VC/IP-17	SR-VC-IP150-S10-17	
SR10/VC/IP-18	SR-VC-IP150-S10-18	
SR10/VC/IP-19	SR-VC-IP150-S10-19	
SR10/VC/IPCT-01	SR-VC-IPCT-RKA09B10-01	
SR10/VC/IPCT-02	SR-VC-IPCT-RKA09B10-02	
SR10/VC/IPCT-03	SR-VC-IPCT-RKA10C08-01	
SR10/VC/IPCT-04	SR-VC-IPCT-RKA10C08-02	
SR10/VC/IPCT-05	SR-VC-IPCT-RKA11C01-01	
SR10/VC/PIR-01	SR-VC-PIR-S10-01	
SR10/VC/PIR-02	SR-VC-PIR-S10-02	
SR10/VC/PIR-03	SR-VC-PIR-S10-03	
SR10/VC/PIR-04	SR-VC-PIR-S10-04	
SR10/VC/SERIAL-01	SR-CT-PAPA-RKA10C08-01	P1
SR10/VC/SERIAL-02	SR-CT-PAPA-RKA10C08-01	P2
SR10/VC/SERIAL-03	SR-CT-PAPA-RKA10C08-01	P3
SR10/VC/SERIAL-04	SR-CT-PAPA-RKA10C08-01	P4
SR10/VC/SERIAL-10	SR-CT-PAPA-RKA10C08-01	P10
SR10/VC/SERIAL-11	SR-CT-PAPA-RKA10C08-01	P11
SR10/VC/SPBX-01	SR-VC-SPBX-RKA09B10-01	
SR10/VC/SPBX-02	SR-VC-SPBX-RKA09B10-02	
SR10/VC/SPBX-03	SR-VC-SPBX-RKA10C08-01	
SR10/VC/SPBX-04	SR-VC-SPBX-RKA10C08-02	
SR10/VC/SPBX-05	SR-VC-SPBX-RKA11C01-01	
SR10/VC/VGCT-01	SR-VC-VGCT-RKA09B10-01	
SR10/VC/VGCT-02	SR-VC-VGCT-RKA09B10-02	
SR10/VC/VGCT-03	SR-VC-VGCT-RKA10C08-01	
SR10/VC/VGCT-04	SR-VC-VGCT-RKA11C01-01	
SR11/VC/CCG-01	SR-VC-CCG-S11-01	
SR11/VC/CCG-02	SR-VC-CCG-S11-02	
SR11/VC/CCG-03	SR-VC-CCG-S11-03	
SR11/VC/IP-01	SR-VC-IP150-S11-01	
SR11/VC/IP-02	SR-VC-IP150-S11-02	
SR11/VC/IP-03	SR-VC-IP300-S11-03	
SR11/VC/IP-04	SR-VC-IP500-S11-04	
SR11/VC/IP-05	SR-VC-IP300-S11-05	
SR11/VC/IP-06	SR-VC-IP150-S11-06	
SR11/VC/IP-07	SR-VC-IP150-S11-07	
SR11/VC/IP-08	SR-VC-IP150-S11-08	
SR11/VC/IP-09	SR-VC-IP150-S11-09	
SR11/VC/IP-10	SR-VC-IP300-S11-10	
SR11/VC/IP-11	SR-VC-IP500-S11-11	
SR11/VC/IP-12	SR-VC-IP300-S11-12	
SR11/VC/IP-13	SR-VC-IP150-S11-13	
SR11/VC/IP-14	SR-VC-IP150-S11-14	
SR11/VC/IP-15	SR-VC-IP150-S11-15	
SR11/VC/IPCT-01	SR-VC-IPCT-RKA11D01-01	
SR11/VC/IPCT-02	SR-VC-IPCT-RKA11D01-02	
SR11/VC/IPCT-03	SR-VC-IPCT-RKA11F01-01	
SR11/VC/PIR-01	SR-VC-PIR-S11-01	
SR11/VC/PIR-02	SR-VC-PIR-S11-02	
SR11/VC/SERIAL-01	SR-CT-PAPA-RKA11C01-01	P1
SR11/VC/SERIAL-02	SR-CT-PAPA-RKA11C01-01	P2
SR11/VC/SERIAL-03	SR-CT-PAPA-RKA11C01-01	P3
SR11/VC/SERIAL-10	SR-CT-PAPA-RKA11C01-01	P10
SR11/VC/SERIAL-11	SR-CT-PAPA-RKA11C01-01	P11
SR11/VC/SPBX-01	SR-VC-SPBX-RKA11D01-01	
SR11/VC/SPBX-02	SR-VC-SPBX-RKA11D01-02	
SR11/VC/SPBX-03	SR-VC-SPBX-RKA11F01-01	
SR11/VC/VGCT-01	SR-VC-VGCT-RKA11D01-01	
SR11/VC/VGCT-02	SR-VC-VGCT-RKA11F01-01	
SR12/VC/CCG-01	SR-VC-CCG-S12-01	
SR12/VC/CCG-02	SR-VC-CCG-S12-02	
SR12/VC/CCG-03	SR-VC-CCG-S12-03	
SR12/VC/CCG-04	SR-VC-CCG-S12-04	
SR12/VC/IP-01	SR-VC-IP150-S12-01	
SR12/VC/IP-02	SR-VC-IP150-S12-02	
SR12/VC/IP-03	SR-VC-IP300-S12-03	
SR12/VC/IP-04	SR-VC-IP500-S12-04	
SR12/VC/IP-05	SR-VC-IP300-S12-05	
SR12/VC/IP-06	SR-VC-IP150-S12-06	
SR12/VC/IP-07	SR-VC-IP300-S12-07	
SR12/VC/IP-08	SR-VC-IP500-S12-08	
SR12/VC/IP-09	SR-VC-IP300-S12-09	
SR12/VC/IP-10	SR-VC-IP150-S12-10	
SR12/VC/IP-11	SR-VC-IP150-S12-11	
SR12/VC/IP-12	SR-VC-IP150-S12-12	
SR12/VC/IP-13	SR-VC-IP150-S12-13	
SR12/VC/IP-14	SR-VC-IP150-S12-14	
SR12/VC/IP-15	SR-VC-IP150-S12-15	
SR12/VC/IPCT-01	SR-VC-IPCT-RKA12B01-01	
SR12/VC/IPCT-02	SR-VC-IPCT-RKA12B01-02	
SR12/VC/IPCT-03	SR-VC-IPCT-RKA12G02-01	
SR12/VC/PIR-01	SR-VC-PIR-S12-01	
SR12/VC/PIR-02	SR-VC-PIR-S12-02	
SR12/VC/SERIAL-01	SR-CT-PAPA-RKA11F01-01	P1
SR12/VC/SERIAL-02	SR-CT-PAPA-RKA11F01-01	P2
SR12/VC/SERIAL-03	SR-CT-PAPA-RKA11F01-01	P3
SR12/VC/SERIAL-04	SR-CT-PAPA-RKA11F01-01	P4
SR12/VC/SERIAL-05	SR-CT-PAPA-RKA11F01-01	P5
SR12/VC/SERIAL-10	SR-CT-PAPA-RKA11F01-01	P10
SR12/VC/SERIAL-11	SR-CT-PAPA-RKA11F01-01	P11
SR12/VC/SPBX-01	SR-VC-SPBX-RKA12B01-01	
SR12/VC/SPBX-02	SR-VC-SPBX-RKA12B01-02	
SR12/VC/SPBX-03	SR-VC-SPBX-RKA12G02-01	
SR12/VC/VGCT-01	SR-VC-VGCT-RKA12B01-01	
SR12/VC/VGCT-02	SR-VC-VGCT-RKA12G02-01	
SR13/VC/CCG-01	SR-VC-CCG-S13-01	
SR13/VC/CCG-02	SR-VC-CCG-S13-02	
SR13/VC/CCG-03	SR-VC-CCG-S13-03	
SR13/VC/IP-01	SR-VC-IP150-S13-01	
SR13/VC/IP-02	SR-VC-IP150-S13-02	
SR13/VC/IP-03	SR-VC-IP300-S13-03	
SR13/VC/IP-04	SR-VC-IP500-S13-04	
SR13/VC/IP-05	SR-VC-IP300-S13-05	
SR13/VC/IP-06	SR-VC-IP150-S13-06	
SR13/VC/IP-07	SR-VC-IP300-S13-07	
SR13/VC/IP-08	SR-VC-IP500-S13-08	
SR13/VC/IP-09	SR-VC-IP300-S13-09	
SR13/VC/IP-10	SR-VC-IP150-S13-10	
SR13/VC/IP-11	SR-VC-IP150-S13-11	
SR13/VC/IP-12	SR-VC-IP150-S13-12	
SR13/VC/IPCT-01	SR-VC-IPCT-RKA12G03-01	
SR13/VC/IPCT-02	SR-VC-IPCT-RKA13A08-01	
SR13/VC/IPCT-03	SR-VC-IPCT-RKA13A08-02	
SR13/VC/PIR-01	SR-VC-PIR-S13-01	
SR13/VC/PIR-02	SR-VC-PIR-S13-02	
SR13/VC/SERIAL-01	SR-CT-PAPA-RKA13A08-01	P1
SR13/VC/SERIAL-02	SR-CT-PAPA-RKA13A08-01	P2
SR13/VC/SERIAL-03	SR-CT-PAPA-RKA13A08-01	P3
SR13/VC/SERIAL-04	SR-CT-PAPA-RKA13A08-01	P4
SR13/VC/SERIAL-10	SR-CT-PAPA-RKA13A08-01	P10
SR13/VC/SERIAL-11	SR-CT-PAPA-RKA13A08-01	P11
SR13/VC/SERIAL-12	SR-CT-PAPA-RKA13A08-01	P12
SR13/VC/SPBX-01	SR-VC-SPBX-RKA12G03-01	
SR13/VC/SPBX-02	SR-VC-SPBX-RKA13A08-01	
SR13/VC/SPBX-03	SR-VC-SPBX-RKA13A08-02	
SR13/VC/VGCT-01	SR-VC-VGCT-RKA12G03-01	
SR13/VC/VGCT-02	SR-VC-VGCT-RKA13A08-01	
SR14/VC/CCG-01	SR-VC-CCG-S14-01	
SR14/VC/CCG-02	SR-VC-CCG-S14-02	
SR14/VC/CCG-03	SR-VC-CCG-S14-03	
SR14/VC/CCG-04	SR-VC-CCG-S14-04	
SR14/VC/CCG-05	SR-VC-CCG-S14-05	
SR14/VC/CCG-06	SR-VC-CCG-S14-06	
SR14/VC/IP-01	SR-VC-IP150-S14-01	
SR14/VC/IP-02	SR-VC-IP150-S14-02	
SR14/VC/IP-03	SR-VC-IP300-S14-03	
SR14/VC/IP-04	SR-VC-IP500-S14-04	
SR14/VC/IP-05	SR-VC-IP300-S14-05	
SR14/VC/IP-06	SR-VC-IP150-S14-06	
SR14/VC/IP-07	SR-VC-IP150-S14-07	
SR14/VC/IP-08	SR-VC-IP300-S14-08	
SR14/VC/IP-09	SR-VC-IP300-S14-09	
SR14/VC/IP-10	SR-VC-IP150-S14-10	
SR14/VC/IP-11	SR-VC-IP150-S14-11	
SR14/VC/IP-12	SR-VC-IP150-S14-12	
SR14/VC/IP-13	SR-VC-IP500-S14-13	
SR14/VC/IP-14	SR-VC-IP300-S14-14	
SR14/VC/IP-15	SR-VC-IP500-S14-15	
SR14/VC/IP-16	SR-VC-IP300-S14-16	
SR14/VC/IP-17	SR-VC-IP150-S14-17	
SR14/VC/IP-18	SR-VC-IP150-S14-18	
SR14/VC/IP-19	SR-VC-IP150-S14-19	
SR14/VC/IPCT-01	SR-VC-IPCT-RKA14C12-01	
SR14/VC/IPCT-02	SR-VC-IPCT-RKA14C12-02	
SR14/VC/IPCT-03	SR-VC-IPCT-RKA14D09-01	
SR14/VC/IPCT-04	SR-VC-IPCT-RKA14D09-02	
SR14/VC/IPCT-05	SR-VC-IPCT-RKA15C13-01	
SR14/VC/PIR-01	SR-VC-PIR-S14-01	
SR14/VC/PIR-02	SR-VC-PIR-S14-02	
SR14/VC/PIR-03	SR-VC-PIR-S14-03	
SR14/VC/PIR-04	SR-VC-PIR-S14-04	
SR14/VC/SERIAL-01	SR-CT-PAPA-RKA14C12-01	P1
SR14/VC/SERIAL-02	SR-CT-PAPA-RKA14C12-01	P2
SR14/VC/SERIAL-03	SR-CT-PAPA-RKA14C12-01	P3
SR14/VC/SERIAL-04	SR-CT-PAPA-RKA14C12-01	P4
SR14/VC/SERIAL-05	SR-CT-PAPA-RKA14C12-01	P5
SR14/VC/SERIAL-06	SR-CT-PAPA-RKA14C12-01	P6
SR14/VC/SERIAL-07	SR-CT-PAPA-RKA14C12-01	P7
SR14/VC/SERIAL-08	SR-CT-PAPA-RKA14C12-01	P8
SR14/VC/SERIAL-10	SR-CT-PAPA-RKA14C12-01	P10
SR14/VC/SERIAL-11	SR-CT-PAPA-RKA14C12-01	P11
SR14/VC/SERIAL-12	SR-CT-PAPA-RKA14C12-01	P12
SR14/VC/SERIAL-13	SR-CT-PAPA-RKA14C12-01	P13
SR14/VC/SERIAL-14	SR-CT-PAPA-RKA14C12-01	P14
SR14/VC/SPBX-01	SR-VC-SPBX-RKA14C12-01	
SR14/VC/SPBX-02	SR-VC-SPBX-RKA14C12-02	
SR14/VC/SPBX-03	SR-VC-SPBX-RKA14D09-01	
SR14/VC/SPBX-04	SR-VC-SPBX-RKA14D09-02	
SR14/VC/SPBX-05	SR-VC-SPBX-RKA15C13-01	
SR14/VC/VGCT-01	SR-VC-VGCT-RKA14C12-01	
SR14/VC/VGCT-02	SR-VC-VGCT-RKA14C12-02	
SR14/VC/VGCT-03	SR-VC-VGCT-RKA14D09-01	
SR14/VC/VGCT-04	SR-VC-VGCT-RKA15C13-01	
SR15/VC/CCG-01	SR-VC-CCG-S15-01	
SR15/VC/CCG-02	SR-VC-CCG-S15-02	
SR15/VC/CCG-03	SR-VC-CCG-S15-03	
SR15/VC/IP-01	SR-VC-IP150-S15-01	
SR15/VC/IP-02	SR-VC-IP150-S15-02	
SR15/VC/IP-03	SR-VC-IP300-S15-03	
SR15/VC/IP-04	SR-VC-IP500-S15-04	
SR15/VC/IP-05	SR-VC-IP300-S15-05	
SR15/VC/IP-06	SR-VC-IP150-S15-06	
SR15/VC/IP-07	SR-VC-IP150-S15-07	
SR15/VC/IP-08	SR-VC-IP150-S15-08	
SR15/VC/IP-09	SR-VC-IP150-S15-09	
SR15/VC/IP-10	SR-VC-IP300-S15-10	
SR15/VC/IP-11	SR-VC-IP500-S15-11	
SR15/VC/IP-12	SR-VC-IP300-S15-12	
SR15/VC/IP-13	SR-VC-IP150-S15-13	
SR15/VC/IP-14	SR-VC-IP150-S15-14	
SR15/VC/IP-15	SR-VC-IP150-S15-15	
SR15/VC/IPCT-01	SR-VC-IPCT-RKA14D10-01	
SR15/VC/IPCT-02	SR-VC-IPCT-RKA14D10-02	
SR15/VC/IPCT-03	SR-VC-IPCT-RKA15C14-01	
SR15/VC/PIR-01	SR-VC-PIR-S15-01	
SR15/VC/PIR-02	SR-VC-PIR-S15-02	
SR15/VC/SERIAL-01	SR-CT-PAPA-RKA15B10-01	P1
SR15/VC/SERIAL-10	SR-CT-PAPA-RKA15B10-01	P10
SR15/VC/SPBX-01	SR-VC-SPBX-RKA14D10-01	
SR15/VC/SPBX-02	SR-VC-SPBX-RKA14D10-02	
SR15/VC/SPBX-03	SR-VC-SPBX-RKA15C14-01	
SR15/VC/VGCT-01	SR-VC-VGCT-RKA14D10-01	
SR15/VC/VGCT-02	SR-VC-VGCT-RKA15C14-01	
SR16/VC/CCG-01	SR-VC-CCG-S16-01	
SR16/VC/CCG-02	SR-VC-CCG-S16-02	
SR16/VC/CCG-03	SR-VC-CCG-S16-03	
SR16/VC/CCG-04	SR-VC-CCG-S16-04	
SR16/VC/IP-01	SR-VC-IP150-S16-01	
SR16/VC/IP-02	SR-VC-IP150-S16-02	
SR16/VC/IP-03	SR-VC-IP300-S16-03	
SR16/VC/IP-04	SR-VC-IP500-S16-04	
SR16/VC/IP-05	SR-VC-IP300-S16-05	
SR16/VC/IP-06	SR-VC-IP150-S16-06	
SR16/VC/IP-07	SR-VC-IP300-S16-07	
SR16/VC/IP-08	SR-VC-IP500-S16-08	
SR16/VC/IP-09	SR-VC-IP300-S16-09	
SR16/VC/IP-10	SR-VC-IP150-S16-10	
SR16/VC/IP-11	SR-VC-IP300-S16-11	
SR16/VC/IP-12	SR-VC-IP150-S16-12	
SR16/VC/IP-13	SR-VC-IP20-S16-13	
SR16/VC/IP-14	SR-VC-IP20-S16-14	
SR16/VC/IP-15	SR-VC-IP150-S16-15	
SR16/VC/IP-16	SR-VC-IP20-S16-16	
SR16/VC/IP-17	SR-VC-IP20-S16-17	
SR16/VC/IP-18	SR-VC-IP150-S16-18	
SR16/VC/IPCT-01	SR-VC-IPCT-RKA01A09-01	
SR16/VC/IPCT-02	SR-VC-IPCT-RKA15C08-01	
SR16/VC/IPCT-03	SR-VC-IPCT-RKA15C08-02	
SR16/VC/PIR-01	SR-VC-PIR-S16-01	
SR16/VC/PIR-02	SR-VC-PIR-S16-02	
SR16/VC/SERIAL-01	SR-CT-PAPA-RKA15C14-01	P1
SR16/VC/SERIAL-02	SR-CT-PAPA-RKA15C14-01	P2
SR16/VC/SERIAL-03	SR-CT-PAPA-RKA15C14-01	P3
SR16/VC/SERIAL-04	SR-CT-PAPA-RKA15C14-01	P4
SR16/VC/SERIAL-05	SR-CT-PAPA-RKA15C14-01	P5
SR16/VC/SERIAL-06	SR-CT-PAPA-RKA15C14-01	P6
SR16/VC/SERIAL-07	SR-CT-PAPA-RKA15C14-01	P7
SR16/VC/SERIAL-10	SR-CT-PAPA-RKA15C14-01	P10
SR16/VC/SERIAL-11	SR-CT-PAPA-RKA15C14-01	P11
SR16/VC/SERIAL-12	SR-CT-PAPA-RKA15C14-01	P12
SR16/VC/SERIAL-13	SR-CT-PAPA-RKA15C14-01	P13
SR16/VC/SERIAL-14	SR-CT-PAPA-RKA15C14-01	P14
SR16/VC/SPBX-01	SR-VC-SPBX-RKA01A09-01	
SR16/VC/SPBX-02	SR-VC-SPBX-RKA01A09-02	
SR16/VC/SPBX-03	SR-VC-SPBX-RKA15C08-01	
SR16/VC/SPBX-04	SR-VC-SPBX-RKA15C08-02	
SR16/VC/VGCT-01	SR-VC-VGCT-RKA01A09-01	
SR16/VC/VGCT-02	SR-VC-VGCT-RKA15C08-01	
